"Year","Trip Purpose","Expenditure"
2014,"Religious",10236000000
2015,"Religious",10156925174.5943
2016,"Religious",11716429371.8212
2017,"Religious",10820928946.268799
2018,"Religious",9959879070.80757
2019,"Religious",12358652477.9655
2020,"Religious",5461311039.15007
2021,"Religious",8790081995.38
2022,"Religious",0
2014,"Leisure",13391000000
2015,"Leisure",21183455240.2041
2016,"Leisure",24317838783.9418
2017,"Leisure",19007701049.5367
2018,"Leisure",19046255585.955498
2019,"Leisure",29153238507.472202
2020,"Leisure",23187700571.9722
2021,"Leisure",47075652129.020004
2022,"Leisure",0
2014,"Business",3031000000
2015,"Business",3247666761.41741
2016,"Business",1885848800.6672702
2017,"Business",1940710118.44969
2018,"Business",2247705310.19836
2019,"Business",2250890397.87808
2020,"Business",2147205325.8234
2021,"Business",3607360005.51
2022,"Business",0
2014,"Visiting Friends & Relatives",12122000000
2015,"Visiting Friends & Relatives",9771687377.12195
2016,"Visiting Friends & Relatives",14016604783.262001
2017,"Visiting Friends & Relatives",12737131454.8396
2018,"Visiting Friends & Relatives",15084333357.954199
2019,"Visiting Friends & Relatives",15761508559.6912
2020,"Visiting Friends & Relatives",11067728777.0373
2021,"Visiting Friends & Relatives",19118169339.85
2022,"Visiting Friends & Relatives",0
2014,"Other",4302000000
2015,"Other",4059351265.37937
2016,"Other",3492269811.0602
2017,"Other",1593770367.59171
2018,"Other",1784132216.0125802
2019,"Other",1681592550.41198
2020,"Other",1483193547.9093199
2021,"Other",2310532552.48
2022,"Other",0